,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
164,13-2707665,Phipps Neighborhoods Inc,NEW YORK,NY,1653143965000000000,Black/African American,Male,,,,,,,,,11.0,,1.0,1.0,,,,9.0,,,,,6.0,5.0,,,,,,,,,,,,,,,,8.0,,4.0,2.0,,,,2.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,265.0,2.0,98.0,124.0,,,,18.0,23.0,,,,153.0,106.0,,6.0,,,,,,,,,,,,,,171558.0,508768.0,66.27971885024215,0.6666666666666666,0.3333333333333333,29007.22279792746,175930.0,11539904.0,WWW.PHIPPSNY.ORG,392,18079167.0
166,13-2890727,Guttmacher Institute Inc,NEW YORK,NY,1648661317000000000,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,Not transgender (cisgender),,Person without a disability,,,,,,23.0,3.0,4.0,1.0,,,,15.0,,,,,19.0,4.0,,,,,23.0,,,2.0,19.0,2.0,,,,,,8.0,1.0,3.0,2.0,,,,2.0,,,,,7.0,1.0,,,,,8.0,,,,,,,,8.0,,,108.0,13.0,21.0,12.0,,,,60.0,2.0,,,,88.0,20.0,,,,,,,,,,,,0.0,108.0,,,303270.1666666667,343091.0,11.606493126702047,0.07692307692307693,0.9230769230769231,110884.26666666666,419451.0,17288445.0,WWW.GUTTMACHER.ORG,133,32979466.0
167,13-2926426,Graham-Windham,Brooklyn,NY,1691625600000000000,Black/African American,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,7.0,,,,,6.0,,1.0,,1.0,10.0,5.0,,,,,,,,,,,,,,,,503.0,,290.0,120.0,,2.0,,32.0,17.0,14.0,,28.0,379.0,120.0,,,4.0,,,,,,,,,,,,,278096.4285714286,219937.5,-26.443388949782815,0.2222222222222222,0.7777777777777778,37449.47448979592,502891.0,31746938.0,WWW.GRAHAM-WINDHAM.ORG,793,57885476.0
169,13-2933675,Urban Pathways Inc,NEW YORK,NY,1674691200000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,24.0,6.0,2.0,0.0,,0.0,,16.0,0.0,,0.0,0.0,8.0,16.0,,,,,,,,,,,,,,,,8.0,,1.0,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,337.0,10.0,237.0,62.0,,1.0,,24.0,3.0,,,,175.0,162.0,,,,,,,,,,,,,,,,179409.33333333334,232235.0,22.746643127292035,0.5,0.5,37616.9866962306,286222.0,18200194.0,WWW.URBANPATHWAYS.ORG,457,40277389.0
172,13-3148295,All Stars Project Inc,NEW YORK,NY,1650453559000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,5.0,1.0,,,,8.0,2.0,,0.0,,11.0,5.0,,,,,,,,,,,,,,,,58.0,,21.0,6.0,,,,30.0,1.0,,,,39.0,19.0,,,,,,,,,,,,,,,,220161.25,251882.0,12.593496160900738,0.2,0.8,80415.3125,345329.0,6279107.0,www.allstars.org,69,11310796.0
173,13-3170676,City Harvest Inc,NEW YORK,NY,1684713600000000000,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,,,,,,40.0,,,,,,,,,,40.0,,,,,40.0,,,,,,,,,,,,,,9.0,,,,,,,,,,9.0,,,,,9.0,,,,,,,,,,,,,,160.0,,,,,,,,,,160.0,,,,,160.0,,,,,,,,,,,,,,309311.71428571426,336031.0,7.9514347528310605,0.3,0.7,64355.64686468647,547631.0,22673036.0,WWW.CITYHARVEST.ORG,313,222850188.0
174,13-3191113,Neo Philanthropy Inc,NEW YORK,NY,1640183092000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,,2.0,1.0,,,,6.0,1.0,,,,4.0,6.0,,,,,,,,3.0,7.0,,,,10.0,,,3.0,1.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,0.0,3.0,,,,,,,,,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,120.0,23.0,33.0,22.0,,,,31.0,,10.0,1.0,,102.0,12.0,4.0,1.0,1.0,,,,,32.0,85.0,3.0,,10.0,107.0,3.0,,245873.44444444444,243696.5,-0.8933014813279788,0.18181818181818182,0.8181818181818182,69551.61237785016,346597.0,24052599.0,WWW.NEOPHILANTHROPY.ORG,318,144358199.0
175,13-3268539,Hope Program Inc,BROOKLYN,NY,1697673600000000000,Black/African American,Female,Not transgender (cisgender),,,,,,,,21.0,3.0,2.0,2.0,,,,14.0,,,,,13.0,8.0,,,,,,,,,,,,,,,,4.0,,1.0,,,,,2.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,58.0,3.0,30.0,11.0,,,,12.0,2.0,,,,38.0,20.0,,,,,,,,,,,,,,,,199996.0,159413.0,-25.457773205447488,0.3333333333333333,0.6666666666666666,20391.496153846154,235184.0,5861194.0,WWW.THEHOPEPROGRAM.ORG,263,8282136.0
176,13-3327220,Action Against Hunger USA,New York,NY,1667174400000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,19.0,,2.0,1.0,,,,14.0,2.0,,,,8.0,11.0,,,,,19.0,,,,,,,,,,,7.0,1.0,2.0,1.0,,,,3.0,,,,,2.0,5.0,,,,,5.0,,2.0,,,,,,,,,1880.0,11.0,1808.0,6.0,,,,36.0,0.0,,0.0,19.0,636.0,1244.0,,,,,,,,,,,,,,,,188855.5,239902.33333333334,21.278172923147896,0.42857142857142855,0.5714285714285714,427495.141025641,319251.0,34819750.0,WWW.ACTIONAGAINSTHUNGER.ORG,85,117737270.0
177,13-3366846,Gods Love We Deliver Inc,New York,NY,1697793445000000000,White/Caucasian/European,Male,,,,,,,,,32.0,5.0,3.0,1.0,,,,22.0,1.0,,,,15.0,17.0,,,,,,,,,,,,,,,,5.0,,1.0,,,,,4.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,134.0,9.0,46.0,30.0,,,,48.0,1.0,,,,,,,,,,,,,,,,,,,,,245288.8,236620.0,-3.663595638576616,0.375,0.625,74166.68902439025,463319.0,14099641.0,WWW.GLWD.ORG,172,39537069.0
179,13-3408731,Network for Teaching Entrepreneurship,New York,NY,1678233600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,133.0,8.0,26.0,11.0,,,,77.0,3.0,,,8.0,36.0,97.0,,,,,,,,,,,,,,,,7.0,,2.0,,,,,5.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,54.0,4.0,19.0,7.0,,,,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,324818.5,178001.33333333334,-82.48093647238596,0.42857142857142855,0.5714285714285714,73392.77777777778,636192.0,7117558.0,WWW.NFTE.COM,79,13733111.0
180,13-3412540,Doe Fund Inc,NEW YORK,NY,1673542991000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,0.0,4.0,1.0,,,,7.0,,,,,3.0,9.0,,,,,,,,,,,,,,,,13.0,,2.0,2.0,,,,9.0,,,,,5.0,8.0,,,,,,,,,,,,,,,,488.0,22.0,296.0,104.0,,1.0,,56.0,9.0,,,,100.0,388.0,,,,,,,,,,,,,,,,276173.25,268525.8333333333,-2.847925866847083,0.6,0.4,52726.254649499286,481312.0,39571500.0,WWW.DOE.ORG,709,78427074.0
181,13-3425071,Part of the Solution Inc,Bronx,NY,1698192000000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,25.0,,1.0,2.0,,,,22.0,,,,,11.0,14.0,,,,,,,,,,,,,,,,11.0,,,4.0,,,,6.0,1.0,,,,7.0,4.0,,,,,,,,,,,,,,,,54.0,3.0,7.0,30.0,,,,11.0,3.0,,,,35.0,19.0,,,,,,,,,,,,,,,,171346.0,0.0,-1.0,0.0,1.0,52375.02,181891.0,2961443.0,www.potsbronx.org,52,7306054.0
182,13-3433452,Medecins Sans Frontiers USA Inc,NEW YORK,NY,1689033600000000000,White/Caucasian/European,Female,Not transgender (cisgender),,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,11.0,,,,,11.0,,,,11.0,,,,11.0,,,,11.0,244.0,40.0,21.0,15.0,,1.0,,153.0,14.0,,,,173.0,71.0,,,,,,,,,,,,,,,,225695.42857142858,219001.0,-3.0568027412790717,0.2222222222222222,0.7777777777777778,61846.314847942755,261883.0,36589960.0,WWW.DOCTORSWITHOUTBORDERS.ORG,568,688743776.0
183,13-3461695,Harlem United Community AIDS Center Inc,New York,NY,1613055291000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,6.0,,,,,,,,,,,,4.0,2.0,,,,,6.0,,,,,,,,,,,7.0,,2.0,1.0,,,,4.0,,,,,4.0,3.0,,,,,7.0,,,2.0,5.0,,,,,,7.0,279.0,8.0,154.0,78.0,,3.0,,33.0,3.0,,,,162.0,117.0,,,,,,,,,,,,,,,,238134.0,176418.5,-34.9824423175574,0.5714285714285714,0.42857142857142855,47576.09322033898,276300.0,12412099.0,WWW.HARLEMUNITED.ORG,243,29846599.0
184,13-3471084,New York City Outward Bound Center Inc,Long Island City,NY,1697587200000000000,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,31.0,,4.0,3.0,,,,24.0,,0.0,,,11.0,20.0,,,,,,,,,,,,1.0,30.0,,,11.0,1.0,,3.0,,,,6.0,1.0,,,,8.0,3.0,,,,,,,,,,,,,,,,57.0,6.0,11.0,13.0,,,,20.0,5.0,,2.0,,35.0,21.0,,,1.0,,,,,,,,,,,,,171758.25,198505.33333333334,13.474239147226946,0.42857142857142855,0.5714285714285714,71838.28301886792,235311.0,5089978.0,www.nycoutwardbound.org,60,7429971.0
185,13-3471350,Hunger Free America Inc,New York,NY,1665964800000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,19.0,5.0,4.0,1.0,,,,,9.0,,,,8.0,11.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,52.0,2.0,4.0,15.0,,,,12.0,4.0,,15.0,,25.0,10.0,2.0,15.0,,,,,,7.0,27.0,18.0,,5.0,27.0,20.0,,0.0,154530.0,100.0,1.0,0.0,27045.543859649122,154530.0,3237722.0,WWW.HUNGERFREEAMERICA.ORG,115,3773733.0
186,13-3480246,Naf,NEW YORK,NY,1685491200000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,22.0,0.0,6.0,,,,,16.0,,,,,6.0,16.0,,,,,,,22.0,,,,22.0,,,,22.0,6.0,0.0,2.0,1.0,,0.0,,3.0,0.0,,,,4.0,2.0,,,,,,,6.0,,,,6.0,,,,6.0,84.0,5.0,20.0,13.0,,,,44.0,2.0,,,,60.0,24.0,,,,,,,84.0,,,,84.0,,,,84.0,310178.0,211744.0,-46.48726764394741,0.4444444444444444,0.5555555555555556,121720.01515151515,597364.0,12829253.0,WWW.NAF.ORG,84,18819868.0
187,13-3505428,New York Legal Assistance Group Incorporated,NEW YORK,NY,1680739200000000000,Hispanic/Latino/Latina/Latinx,Female,Decline to state,Decline to state,Decline to state,,,,,,27.0,,,,,,,,,,,27.0,,,,,27.0,,,,27.0,,,,27.0,,,,27.0,33.0,,,,,,,,,,,33.0,,,,,33.0,,,,33.0,,,,33.0,,,,33.0,358.0,,,,,,,,,,,358.0,,,,,358.0,,,,358.0,,,,358.0,,,,358.0,206050.0,207476.0,0.6873084115753147,0.1111111111111111,0.8888888888888888,82075.30676328503,264236.0,35835053.0,WWW.NYLAG.ORG,423,45761308.0
188,13-3537710,Covenant House New Jersey Inc,Newark,NJ,1694131200000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,1.0,2.0,,,,,13.0,,,,,2.0,14.0,,,,,16.0,,,1.0,15.0,,,,0.0,,16.0,3.0,,1.0,,,,,2.0,,,,,1.0,2.0,,,,,3.0,,,,3.0,,,,,,3.0,156.0,1.0,99.0,8.0,,,,47.0,1.0,,,,96.0,60.0,,,,,,,,,,,,,,,,192703.5,262585.5,26.613046036433847,0.5,0.5,48519.24861878453,345807.0,9692562.0,WWW.COVENANTHOUSENJ.ORG,185,16016349.0
189,13-3538961,New Visions for Public Schools Inc,NEW YORK,NY,1618495854000000000,White/Caucasian/European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,6.0,5.0,8.0,,,,17.0,3.0,,,,26.0,13.0,,,,,,,,,,,,,,,,150.0,34.0,26.0,24.0,,,,58.0,8.0,,,,97.0,53.0,,,,,,,,,,,,,,,,244010.0,280581.5,13.034180799518143,0.7272727272727273,0.2727272727272727,110179.59668508287,577964.0,22919189.0,WWW.NEWVISIONS.ORG,192,30621048.0
190,13-3540337,Violence Intervention Program,New York,NY,1652434991000000000,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,12.0,,,10.0,,,,2.0,,,,0.0,11.0,1.0,,,,,,12.0,,,,12.0,,,,12.0,,5.0,,,4.0,,,,1.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,66.0,,2.0,61.0,,,,2.0,1.0,,,,54.0,12.0,,,,,,,,,,,,,,,,181149.0,181020.0,-0.07126284388465363,0.5,0.5,65659.66176470589,181149.0,4827026.0,WWW.VIPMUJERES.ORG,70,6784767.0
192,13-3562071,AIDS Service Center of Lower Manhattan Inc,New York,NY,1644925105000000000,White/Caucasian/European,Female,Not transgender (cisgender),,,,,,,,10.0,2.0,2.0,1.0,,,,5.0,,,,,3.0,7.0,,,,,,,,,,,,,,,,6.0,1.0,2.0,,,,,2.0,1.0,,,,6.0,,,,,,,,,,,,,,,,,160.0,8.0,48.0,72.0,,1.0,,21.0,4.0,,6.0,,98.0,61.0,1.0,,,,,,,,,,,,,,,225646.4,0.0,-1.0,0.0,1.0,39415.785932721716,375353.0,14017194.0,WWW.ALLIANCE.NYC,332,40015161.0
193,13-3573852,Hispanic Federation Inc,New York,NY,1646926704000000000,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",,,,,,,18.0,,,15.0,,,,3.0,,,,,7.0,11.0,,,,,18.0,,,2.0,16.0,,,,,,,8.0,,,7.0,,,,1.0,,,,,6.0,2.0,,,,,8.0,,,2.0,6.0,,,,,,,73.0,,,62.0,,,,3.0,,,,8.0,51.0,20.0,,,2.0,,,,,9.0,58.0,,6.0,,,,,221711.25,186178.5,-19.085313288054206,0.3333333333333333,0.6666666666666666,22348.61510791367,339552.0,7472117.0,HTTPS://HISPANICFEDERATION.ORG,284,37032621.0
194,13-3600232,Corporation for Supportive Housing,New York,NY,1691971200000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",,,,,,,18.0,,2.0,,1.0,,,12.0,3.0,,,,11.0,7.0,,,,,,,,,,,,,,,,12.0,1.0,2.0,2.0,,,,7.0,,,,,10.0,2.0,,,,,,,,,,,,,,,,157.0,15.0,33.0,17.0,,,,84.0,7.0,,1.0,,124.0,31.0,2.0,,,,,,,,,,,,,,,257360.5,206061.0,-24.895297994283247,0.1111111111111111,0.8888888888888888,105956.17948717948,416120.0,18794109.0,WWW.CSH.ORG,165,44983722.0
195,13-3613210,Education Through Music Inc,New York,NY,1635763021000000000,White/Caucasian/European,Female,,,,,,,,,21.0,4.0,2.0,,,,,15.0,,,,,7.0,14.0,,,,,,,,,,,,,,,,8.0,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,94.0,2.0,11.0,10.0,,,,56.0,,,,15.0,,,,,,,,,,,,,,,,,,188125.0,158333.0,-18.816039612714974,0.5,0.5,20991.990476190476,188125.0,2550617.0,WWW.ETMONLINE.ORG,107,7280519.0
196,13-3615533,Rockefeller Philanthropy Advisors Inc,NEW YORK,NY,1681084800000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,1.0,3.0,,,,,10.0,,,3.0,,6.0,9.0,,2.0,0.0,,7.0,10.0,,2.0,12.0,3.0,,14.0,,3.0,,7.0,1.0,2.0,,,,,4.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,105.0,14.0,25.0,19.0,,,1.0,45.0,1.0,,,,79.0,25.0,1.0,,,,,,,,,,,,,,,496017.875,455120.5,-8.986054242777461,0.3333333333333333,0.6666666666666666,162465.51229508198,777523.0,85071795.0,WWW.ROCKPA.ORG,500,681676124.0
197,13-3623815,Gina Gibney Dance Inc,New York,NY,1645523661000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,25.0,2.0,3.0,,,,,20.0,,,,,19.0,6.0,,,,,,,,,,,,,,,,9.0,1.0,2.0,,,,,5.0,,1.0,,,6.0,3.0,,,,,9.0,,,3.0,6.0,,,,9.0,,,74.0,10.0,15.0,12.0,,,,31.0,5.0,1.0,,,50.0,22.0,2.0,,,,,,,,,,,,,,,344586.0,0.0,-1.0,0.0,1.0,35966.8256880734,344586.0,4264970.0,gibneydance.org,110,12870414.0
198,13-3669731,Center for Reproductive Rights Inc,NEW YORK,NY,1636120089000000000,White/Caucasian/European,Female,,,,,,,,,23.0,4.0,4.0,1.0,,,,12.0,1.0,,1.0,,19.0,3.0,,1.0,,,,,,,,,,,,,,8.0,1.0,2.0,1.0,,,,4.0,,,,,6.0,2.0,,,,,,,,,,,,,,,,190.0,21.0,30.0,32.0,,,,99.0,8.0,,,,166.0,24.0,,,,,,,,,,,,,,,,304376.77777777775,278903.0,-9.133561767990216,0.25,0.75,127374.01685393258,528567.0,26248675.0,www.reproductiverights.org,190,58443821.0
199,13-3687891,Cent for Urban Community Svcs,NEW YORK,NY,1677628800000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,,,,,,,13.0,,2.0,1.0,,,,9.0,1.0,,,,5.0,8.0,,,,,12.0,1.0,,,12.0,1.0,,,12.0,1.0,,7.0,1.0,2.0,,,,,4.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,632.0,30.0,243.0,124.0,0.0,1.0,0.0,180.0,23.0,,31.0,,443.0,136.0,4.0,49.0,,,,,,,,,,,,,,185474.25,240280.8,22.80937553062916,0.5555555555555556,0.4444444444444444,49611.09635036496,357507.0,35926902.0,WWW.CUCS.ORG,694,77508569.0
200,13-3753011,Storycorps Inc,Brooklyn,NY,1644276714000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,22.0,2.0,5.0,1.0,,,,14.0,,,,,12.0,10.0,,,,,,,22.0,1.0,21.0,,,,,,22.0,5.0,,1.0,,,,,2.0,,,2.0,,3.0,,,2.0,,,,,5.0,,3.0,2.0,,,3.0,2.0,,66.0,5.0,4.0,2.0,,0.0,,34.0,5.0,,16.0,,39.0,10.0,2.0,15.0,,1.0,,,65.0,10.0,39.0,17.0,,,,,66.0,173531.0,207778.0,16.482495740646268,0.5714285714285714,0.42857142857142855,51098.1875,276633.0,7892273.0,WWW.STORYCORPS.ORG,135,12121023.0
201,13-3770472,Teaching Matters Inc,New York,NY,1674172800000000000,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,,,,,,16.0,3.0,1.0,3.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,8.0,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,67.0,6.0,14.0,11.0,,,,32.0,4.0,,,,,,,,,,,,,,,,,,,,,204594.5,195327.0,-4.744607760319874,0.2,0.8,80747.5375,312669.0,7473508.0,WWW.TEACHINGMATTERS.ORG,85,7951148.0
202,13-3772904,Initiative for A Competitive Inner City Inc,ROXBURY,MA,1665705600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,20.0,,6.0,,,,,13.0,1.0,,,,11.0,9.0,,,,,,,,,,,,,,,,14.0,4.0,2.0,3.0,,,,5.0,,,,,8.0,6.0,,,,,,,,,,,,,,,,51.0,8.0,14.0,10.0,,,,18.0,,,1.0,,33.0,17.0,1.0,,,,,,,,,,,,,,,174520.66666666666,270231.5,35.418089058208736,0.4,0.6,57502.09090909091,311217.0,4226640.0,WWW.ICIC.ORG,60,6700624.0
205,13-3843322,Center for Employment Opportunities Inc,New York,NY,1683676800000000000,White/Caucasian/European,Male,,,,,,,,,14.0,1.0,4.0,2.0,,,,7.0,,,,,7.0,7.0,,,,,,,,,,,,,,,,5.0,2.0,1.0,,1.0,,,1.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,640.0,30.0,312.0,99.0,,,9.0,150.0,32.0,,,8.0,237.0,315.0,,88.0,,,,,,,,,,,,,,228664.0,270837.0,15.57135841853218,0.4,0.6,9819.28870223979,409535.0,62078053.0,WWW.CEOWORKS.ORG,6082,87797672.0
206,13-3849263,Neighborhood Trust Financial Partners Inc,New York,NY,1643987763000000000,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,,,,,,11.0,,2.0,1.0,,,,8.0,,,,,4.0,7.0,,,,,11.0,,,,,,11.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,1.0,6.0,26.0,,,,18.0,1.0,,,,,,,,,,,,,,,,,,,,,174315.0,0.0,-1.0,0.0,1.0,75556.6551724138,178510.0,4730916.0,www.neighborhoodtrust.org,60,7150796.0
207,13-3850158,Tntp Inc,NEW YORK,NY,1690156800000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,,4.0,2.0,,1.0,,3.0,,,,,4.0,6.0,,,,,,,,2.0,8.0,,,1.0,9.0,,,21.0,,8.0,4.0,,,,9.0,,,,,16.0,5.0,,,,,,,,3.0,9.0,9.0,,,1.0,20.0,,686.0,40.0,188.0,93.0,,9.0,,343.0,3.0,,10.0,,548.0,138.0,,,,,,,,73.0,498.0,115.0,,29.0,10.0,647.0,,261617.22222222222,284726.25,8.11622664850107,0.3076923076923077,0.6923076923076923,80793.75484496124,401737.0,86872615.0,TNTP.ORG,1045,144637728.0
208,13-3871360,American Civil Liberties Union Inc,NEW YORK,NY,1639150319000000000,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",,,,,,,13.0,4.0,5.0,1.0,,,,3.0,,,,,7.0,6.0,,,,,13.0,,,,,,,,,,,9.0,,2.0,1.0,,,,6.0,,,,,4.0,5.0,,,,,9.0,,,3.0,,,6.0,,,,9.0,548.0,70.0,58.0,46.0,,3.0,,194.0,30.0,,147.0,,261.0,123.0,16.0,148.0,,7.0,377.0,164.0,,71.0,132.0,345.0,,40.0,329.0,179.0,,435591.5,526063.7142857143,17.19795755321328,0.4666666666666667,0.5333333333333333,75086.84090909091,884888.0,31373269.0,WWW.ACLU.ORG,367,162150933.0
209,13-3962840,Alpha USA,NAPERVILLE,IL,1659947832000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,1.0,,,,,,11.0,,,,,3.0,9.0,,,,,12.0,,,,12.0,,,,12.0,,,6.0,,1.0,,,,,5.0,,,,,2.0,4.0,,,,,6.0,,,,6.0,,,,6.0,,,53.0,,3.0,6.0,,,,43.0,1.0,,,,33.0,20.0,,,,,,,,,,,,,,,,182121.0,152138.0,-19.70776531832941,0.5,0.5,70588.59016393442,182121.0,4640163.0,www.alphausa.org,63,10198645.0
211,13-4193728,International Legal Foundation Ltd,New York,NY,1667952000000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,,3.0,1.0,,,,5.0,,1.0,,,5.0,5.0,,,,,10.0,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,107.0,,,,,,,,,,,,53.0,54.0,,,,,,,,,,,,,,,,187585.0,0.0,-1.0,0.0,1.0,198134.25,187585.0,2565196.0,WWW.THEILF.ORG,13,3853200.0
212,13-4205042,The Family Resource Network Inc,East Windsor,NJ,1660003200000000000,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,1.0,,,,3.0,,,,,3.0,2.0,,,,,5.0,,,1.0,4.0,,,1.0,4.0,,,171.0,3.0,20.0,11.0,,,,48.0,,,5.0,84.0,119.0,18.0,,1.0,33.0,,,,,,,,,,,,,161736.0,0.0,-1.0,0.0,1.0,19381.6338028169,161736.0,2913928.0,WWW.FAMILYRESOURCENETWORK.ORG,143,5901883.0
213,13-4234305,National Interscholastic Cycling Association,ORINDA,CA,1678147200000000000,,Female,,,,,,,,,15.0,,,,,,,,,,,,6.0,9.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,48.0,33.0,,,,,,,,,,,,,,,,159287.0,0.0,-1.0,0.0,1.0,39073.55670103093,159287.0,3949422.0,WWW.NATIONALMTB.ORG,98,8854636.0
