ein,org_name,city,state_code,dei_last_modified,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,total_revenue
58-1562750,Self Help Ventures Fund,Durham,NC,2022-06-24 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),,,,,,,,10.0,,3.0,1.0,,,,6.0,,,,,3.0,7.0,,,,,,,,,,,,,,,,14.0,,3.0,,,,,11.0,,,,,9.0,5.0,,,,,,,,,,,,,,,,142.0,5.0,34.0,13.0,,,,86.0,1.0,,3.0,,85.0,57.0,,,,,,,,,,,,,,,,60531771.0
61-0661137,Christian Appalachian Project Inc,PAINTSVILLE,KY,2023-02-24 00:00:00,,Male,Not transgender (cisgender),Heterosexual or Straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,142.0,0.0,3.0,0.0,,1.0,,133.0,1.0,,4.0,,81.0,57.0,,0.0,4.0,,,,,,,,,,,,142.0,177571007.0
91-2166435,Multiplier,SAN FRANCISCO,CA,2021-01-26 11:36:25,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,9.0,1.0,1.0,,,1.0,,6.0,,,,,4.0,5.0,,,,,9.0,,,,9.0,,,,9.0,,,6.0,1.0,,,,,,5.0,,,,,5.0,1.0,,,,,6.0,,,,6.0,,,,6.0,,,142.0,13.0,7.0,14.0,,7.0,,91.0,7.0,,,3.0,,,,,,,,,,,,,,,,,,39865015.0
95-2794253,North County Lifeline Inc,Vista,CA,2023-06-27 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,,3.0,5.0,,,,10.0,1.0,,,,11.0,8.0,,,,,19.0,,,,,,,,,,,4.0,,,,,,,3.0,1.0,,,,3.0,1.0,,,,,4.0,,,,,,,,,,,142.0,4.0,8.0,84.0,,,,42.0,4.0,,,,121.0,21.0,,,,,,,,,,,,,,,,14162040.0
95-2920990,Boys and Girls Clubs of Greater Anaheim-Cypress,ANAHEIM,CA,2023-06-20 00:00:00,White/Caucasian/European,Female,,,,,,,,,16.0,2.0,,1.0,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,142.0,15.0,7.0,68.0,1.0,,4.0,38.0,7.0,2.0,,,104.0,35.0,2.0,,1.0,,,,,,,,,,,,,2255808.0
13-1656667,Manhattan School of Music,New York,NY,2022-11-04 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,9.0,15.0,20.0,,0.0,,94.0,3.0,,0.0,0.0,77.0,64.0,0.0,0.0,0.0,,,,,,,,,,,,,72520806.0
52-1290127,Capital Impact Partners,Arlington,VA,2023-08-15 00:00:00,Black/African American,Male,Decline to state,Decline to state,Decline to state,,,,,,18.0,1.0,7.0,3.0,,,,7.0,,,,,6.0,12.0,,,,,,,,,,,,,,,,7.0,,4.0,,,,,3.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,141.0,17.0,48.0,10.0,0.0,,1.0,61.0,4.0,,0.0,0.0,86.0,55.0,0.0,0.0,0.0,,,,,,,,,,,,,55782044.0
93-0640525,Living Opportunities Inc,Medford,OR,2022-10-24 11:49:31,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,,,,,,10.0,,,,,,,9.0,,,1.0,,5.0,5.0,,,,,9.0,1.0,,,,,,,10.0,,,7.0,,1.0,,,,,5.0,,,1.0,,5.0,2.0,,,,,,,,,,,,1.0,6.0,,,141.0,5.0,3.0,9.0,,,,120.0,4.0,,,,94.0,,,,47.0,,,,,,,,,,,,,8872920.0
94-1156270,Community Music Center,San Francisco,CA,2023-05-31 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,24.0,3.0,1.0,2.0,,0.0,,18.0,0.0,,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,5.0,19.0,0.0,0.0,,,,,3.0,,,,,,,3.0,,,,,2.0,1.0,,,,,3.0,,,,,,,,,,,141.0,19.0,9.0,22.0,,0.0,,79.0,12.0,,,,120.0,21.0,,,,,141.0,,,,,,,,,,,7950655.0
94-3055602,Hamilton Families,San Francisco,CA,2022-02-10 16:06:45,Black/African American,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,15.0,1.0,1.0,2.0,,,,10.0,1.0,,,,9.0,6.0,,,,,,,,1.0,14.0,,,,,,,6.0,,2.0,2.0,,,,2.0,,,,,4.0,2.0,,,,,,,,3.0,3.0,,,,,,,141.0,12.0,50.0,42.0,,,,35.0,2.0,,,,92.0,45.0,4.0,,,,,,,42.0,99.0,,,,,,,18988869.0
13-1659345,Learning Ally Inc,Princeton,NJ,2023-06-14 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,,,,,,,8.0,,,,,,,8.0,,,,,5.0,3.0,,,,,,,,,,,,,,,,7.0,1.0,,,,,,6.0,,,,,2.0,5.0,,,,,,,7.0,,,,7.0,,,,7.0,140.0,,,,,,,,,,,140.0,,,,,140.0,,,,140.0,,,,140.0,,,,140.0,31390401.0
23-7250641,Rochester Area Community Foundation,Rochester,NY,2023-05-05 00:00:00,,,,,,,,,,,27.0,1.0,5.0,2.0,,,,11.0,,,1.0,7.0,12.0,8.0,,,7.0,1.0,19.0,,7.0,4.0,16.0,,7.0,3.0,14.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,3.0,1.0,,,,25.0,1.0,,1.0,109.0,28.0,2.0,,1.0,109.0,,29.0,2.0,109.0,2.0,26.0,3.0,109.0,7.0,19.0,5.0,109.0,87623690.0
39-1249426,Community Advocates Inc,Milwaukee,WI,2023-01-27 00:00:00,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,,,,,,13.0,,4.0,1.0,,,,8.0,,,,,10.0,3.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,140.0,5.0,85.0,17.0,,,,33.0,,,,,104.0,36.0,,,,,,,,,,,,,,,,54333478.0
42-6072050,Dubuque County Historical Society,Dubuque,IA,2023-08-10 00:00:00,White/Caucasian/European,Male,,,,,,,,,21.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,82.0,57.0,1.0,,,,,,,,,,,,,,,9721079.0
43-1208665,Harvesters-the Community Food Network,Kansas City,MO,2023-03-01 12:50:03,White/Caucasian/European,Male,,,,,,,,,19.0,0.0,3.0,3.0,,0.0,,13.0,,,,,12.0,7.0,,,,,,,,,,,,,,,,14.0,0.0,2.0,0.0,,0.0,,12.0,,,,,10.0,4.0,,,,,,,,,,,,,,,,140.0,2.0,35.0,5.0,,2.0,,94.0,2.0,,,,71.0,68.0,,1.0,,,,,,,,,,,,,,143704850.0
52-1969967,Campaign for Tobacco-Free Kids,Washington,DC,2022-09-27 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,17.0,2.0,2.0,,,,,12.0,,1.0,,,7.0,10.0,,,,,,,,,,,,,,,,24.0,3.0,3.0,2.0,,0.0,,14.0,2.0,,,,17.0,7.0,,,,,,,,,,,,,,,,140.0,18.0,31.0,14.0,,,,72.0,5.0,,,,97.0,43.0,,,,,,,,,,,,,,,,40354963.0
59-1487190,Family Central Inc,Ft Lauderdale,FL,2022-08-03 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,5.0,,1.0,1.0,,,,3.0,,,,,3.0,2.0,,,,,5.0,,,1.0,4.0,,,,,,5.0,6.0,,4.0,,,,,2.0,,,,,5.0,1.0,,,,,6.0,,,1.0,5.0,,,,,,,140.0,,,,,,,,,,,140.0,,,,,140.0,,,,140.0,,,,140.0,,,,140.0,20514261.0
59-2632361,Hibiscus Childrens Center Inc,Jensen Beach,FL,2021-08-18 15:01:30,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,,,1.0,,,,13.0,2.0,,,1.0,6.0,11.0,,,,,17.0,,,,17.0,,,,17.0,,,5.0,,1.0,,,,,4.0,,,,,3.0,2.0,,,,,5.0,,,,5.0,,,,5.0,,,140.0,,,,,,,,,,,140.0,,,,,140.0,,,,140.0,,,,140.0,,,,140.0,8228127.0
94-1186169,Peninsula Family Service,San Mateo,CA,2023-08-10 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Decline to state,,,,,,17.0,3.0,1.0,2.0,,,1.0,10.0,,,,,14.0,3.0,,,,,,,,1.0,15.0,1.0,,,,,,5.0,,2.0,,,,,3.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,140.0,39.0,9.0,59.0,2.0,1.0,2.0,19.0,,,9.0,,119.0,19.0,,2.0,,,,,,,,,,,,,,17301817.0
36-3810926,Breakthrough Urban Ministries Inc,Chicago,IL,2023-03-02 00:00:00,Black/African American,Female,Not transgender (cisgender),,Person without a disability,,,,,,14.0,,8.0,1.0,,,,5.0,,,,0.0,9.0,5.0,,,,,,,,,,,,,,,,27.0,,19.0,1.0,,,,7.0,,,,,19.0,8.0,,,,,,,,,,,,,,,,139.0,1.0,109.0,10.0,,,,17.0,1.0,,1.0,,89.0,50.0,,,,,,,,,,,,,,,,12933979.0
59-0171815,BOYS & GIRLS CLUB OF POLK COUNTY,MULBERRY,FL,2023-01-20 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,27.0,4.0,,,,,,22.0,,1.0,,,7.0,20.0,,,,,,,,,,,,,,,,6.0,,,,,,,5.0,1.0,,,,4.0,2.0,,,,,,,,,,,,,,,,139.0,,59.0,24.0,,1.0,,47.0,6.0,,,2.0,105.0,34.0,,,,,,,,,,,,,,,,4571606.0
26-2418959,Digital Green Foundation,SAN FRANCISCO,CA,2022-09-27 00:00:00,Asian/Asian American,Male,,,,,,,,,9.0,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,138.0,,,,,,,,,,,,56.0,82.0,,,,,,,,,,,,,,,,22099634.0
95-1683861,Atherton Baptist Homes,Alhambra,CA,2023-06-19 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,3.0,1.0,1.0,,,,8.0,,,,,1.0,12.0,,,,,13.0,,,,13.0,,,,,,13.0,5.0,1.0,,1.0,,,,3.0,,,,,3.0,2.0,,,,,5.0,,,,5.0,,,,0.0,,5.0,138.0,45.0,1.0,72.0,2.0,,,18.0,,,,,125.0,13.0,,,,,138.0,,0.0,,,,138.0,,75.0,15.0,48.0,29674182.0
16-1395992,Center for Community Alternatives,SYRACUSE,NY,2023-02-09 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,40.0,,13.0,1.0,,,,24.0,,2.0,,,14.0,26.0,,,,,,,,,,,,,,,,10.0,,1.0,3.0,,0.0,,6.0,,,,,7.0,3.0,,,,,,,,,,,,,,,,137.0,4.0,65.0,18.0,,2.0,,48.0,0.0,,,,85.0,52.0,,,,,,,,,,,,2.0,135.0,,,12987614.0
22-1487275,Newark Museum Association,NEWARK,NJ,2023-04-26 00:00:00,Black/African American,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,28.0,4.0,7.0,,1.0,,,14.0,2.0,,,,13.0,15.0,,,,,28.0,,,,,,28.0,,,,28.0,8.0,1.0,3.0,,,,,4.0,,,,,4.0,4.0,,,,,,,8.0,1.0,,,7.0,,,,8.0,137.0,12.0,48.0,,,,,49.0,4.0,,24.0,,83.0,46.0,,8.0,,,,,,,,,,,,,,33964570.0
36-3363171,Habitat for Humanity International Inc,Saint Paul,MN,2021-10-08 14:58:19,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,,,,,4.0,,,,,3.0,3.0,,,,,,,,,,,,0.0,0.0,0.0,6.0,137.0,5.0,13.0,,,2.0,,109.0,5.0,,,3.0,,,,,,,,,,,,,,5.0,25.0,10.0,97.0,44081313.0
42-0923813,Southern Iowa Economic Development Association,OTTUMWA,IA,2023-01-19 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,,,,5.0,1.0,,,,,6.0,,,,6.0,,,0.0,6.0,,0.0,137.0,,4.0,3.0,,,,130.0,,,,,129.0,8.0,,,,,,,,,,,,,,,,15262424.0
76-0740457,Friends of Switchpoint Inc,SAINT GEORGE,UT,2022-02-15 10:51:43,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,,1.0,,,,,10.0,,,,,4.0,7.0,,,,0.0,11.0,,,,11.0,,,,11.0,,,6.0,,,,,,,6.0,,,,,4.0,2.0,,,,,6.0,,,1.0,5.0,,,,6.0,,,137.0,4.0,3.0,13.0,,4.0,,113.0,,,,,,,,,,,,,,,,,,,,,,16354391.0
95-4191698,Elizabeth Glaser Pediatric AIDS Foundation,Washington,DC,2022-09-28 00:00:00,White/Caucasian/European,Male,,,Person without a disability,,,,,,12.0,,2.0,1.0,,,,9.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,14.0,,1.0,,,,,13.0,,,,,8.0,6.0,,,,,,,,,,,,3.0,10.0,1.0,,137.0,11.0,30.0,6.0,,,,87.0,2.0,1.0,,,101.0,36.0,,,,,,,,,,,,29.0,89.0,19.0,,187687168.0
22-3223641,Roca Inc,Chelsea,MA,2022-07-26 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),,Person without a disability,,,,,,16.0,1.0,4.0,2.0,,,,9.0,,,,,6.0,10.0,,,,,,,,,,,,,,,,7.0,2.0,,,,,,5.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,136.0,9.0,42.0,34.0,,1.0,,42.0,8.0,,,,75.0,60.0,1.0,,,,,,,,,,,,,,,20784215.0
95-4714047,ONESKY,Berkeley,CA,2022-09-15 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15.0,6.0,,,,,,9.0,,,,,6.0,9.0,,,,,,,15.0,,,,15.0,,,,15.0,7.0,4.0,1.0,,,,,2.0,,,,,5.0,2.0,,,,,,,7.0,,,,7.0,,,,7.0,136.0,129.0,1.0,,,,,6.0,,,,,133.0,3.0,,,,,,,136.0,,,,136.0,,,,136.0,4544876.0
13-5596792,Madison Square Boys & Girls Club Inc,New York,NY,2020-10-27 14:51:11,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,53.0,1.0,6.0,3.0,,,,43.0,,,,,4.0,49.0,,,,,,,,,,,,,,,,5.0,,3.0,,,,,2.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,135.0,3.0,84.0,31.0,,,,8.0,9.0,,,,74.0,61.0,,,,,,,,,,,,,,,,16186377.0
34-1341788,Lorain County Alcohol and Drug Abuse Services Inc,Lorain,OH,2021-03-01 15:04:03,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,22.0,,2.0,,,,,20.0,,,,,6.0,16.0,,,,,,,22.0,,,,22.0,,,,22.0,5.0,,1.0,,,,,4.0,,,,,2.0,3.0,,,,,,,5.0,,,,5.0,,5.0,,,135.0,0.0,21.0,13.0,,0.0,,96.0,4.0,,0.0,1.0,98.0,37.0,0.0,0.0,0.0,,,,,,,,,,,,,9939919.0
75-6037853,Civil Air Patrol,Montgomery,AL,2022-02-08 17:30:11,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,11.0,1.0,1.0,0.0,,0.0,,9.0,0.0,,0.0,0.0,2.0,9.0,,,,,11.0,,,,11.0,,,,11.0,,,13.0,,,1.0,,,,12.0,,,,,4.0,9.0,,,,,13.0,,,,13.0,,,,13.0,,,135.0,,,,,,,,,,,135.0,,,,,135.0,,,,135.0,,,,135.0,,,,135.0,62212429.0
86-0733182,The Primavera Foundation Inc,TUCSON,AZ,2022-10-03 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,2.0,2.0,3.0,,,,11.0,,,1.0,,11.0,8.0,,,,,,,19.0,2.0,17.0,,,1.0,18.0,,,6.0,,,1.0,,,,4.0,1.0,,,,5.0,1.0,,,,,6.0,,,1.0,5.0,,,,,,6.0,135.0,0.0,10.0,51.0,,10.0,,51.0,9.0,,,4.0,68.0,67.0,,,,,,,135.0,0.0,15.0,3.0,117.0,4.0,129.0,2.0,,11969146.0
13-3366846,Gods Love We Deliver Inc,New York,NY,2021-08-04 11:03:04,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Decline to state,,,,,,26.0,1.0,3.0,1.0,,,,21.0,,,,,12.0,14.0,,,,,,,,,,,,,,,,5.0,,1.0,,,,,4.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,134.0,9.0,46.0,30.0,,,,48.0,1.0,,,,,,,,,,,,,,,,,,,,,39537069.0
53-0196517,Goodwill Industries International Inc,Derwood,MD,2023-07-06 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,35.0,1.0,6.0,,1.0,,,27.0,,,,,13.0,21.0,,,1.0,,,,,,,,,2.0,30.0,3.0,,8.0,,2.0,1.0,,,,5.0,,,,,5.0,3.0,,,,,,,,,,,,,0.0,,8.0,134.0,5.0,37.0,12.0,,,1.0,76.0,2.0,,1.0,,91.0,43.0,,,,,,,,,,,,1.0,,,133.0,61913793.0
54-6049848,Richmond Ballet Inc,Richmond,VA,2023-03-02 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,Asian/Asian American,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,27.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,25.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,0.0,1.0,9.0,2.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,1.0,7.0,1.0,3.0,0.0,9.0,1.0,2.0,134.0,8.0,8.0,2.0,,1.0,,70.0,5.0,2.0,1.0,37.0,60.0,28.0,1.0,1.0,44.0,,89.0,,45.0,8.0,72.0,9.0,45.0,3.0,82.0,4.0,45.0,8133394.0
56-1514058,Child Care Services Association,Chapel Hill,NC,2023-01-19 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15.0,,6.0,2.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,11.0,,3.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,134.0,2.0,48.0,12.0,,,,63.0,1.0,1.0,,7.0,119.0,15.0,,,,,,,,,,,,,,,,35180731.0
94-2493158,Weave Inc,Sacramento,CA,2023-01-28 00:00:00,White/Caucasian/European,Female,,Heterosexual or Straight,Person without a disability,,,,,,16.0,1.0,3.0,1.0,,,,10.0,,1.0,,,11.0,5.0,,,,,16.0,,,3.0,11.0,,2.0,,,,16.0,9.0,,1.0,,,,,8.0,0.0,,,,9.0,,,,,,9.0,,,,9.0,,,,9.0,,,134.0,13.0,14.0,43.0,,3.0,,46.0,7.0,,8.0,,123.0,11.0,,,,,,,,9.0,125.0,,,6.0,128.0,,,13834479.0
94-2979073,Berkeley Food and Housing Project,Berkeley,CA,2022-03-11 13:22:29,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,1.0,,,,,4.0,2.0,,,,7.0,1.0,,,,,,,,,,,,,,,,134.0,7.0,60.0,21.0,,1.0,,31.0,14.0,,,,87.0,46.0,1.0,,,,,,,,,,,,,,,20896855.0
23-7105149,Public Counsel,Los Angeles,CA,2023-08-29 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,85.0,9.0,7.0,4.0,0.0,0.0,0.0,65.0,0.0,,0.0,0.0,34.0,51.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,133.0,13.0,4.0,46.0,,,,57.0,9.0,,,4.0,103.0,29.0,1.0,,,,,,,,,,,,,,,17516532.0
44-0608429,Harry S Truman Childrens Neurological Center,INDEPENDENCE,MO,2023-02-28 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,0.0,2.0,1.0,,0.0,,9.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,,,,,,,,,2.0,10.0,,,2.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,133.0,1.0,83.0,6.0,0.0,2.0,0.0,36.0,5.0,,0.0,0.0,99.0,26.0,0.0,8.0,0.0,,,,133.0,,,,133.0,,,,133.0,7915635.0
59-1214353,Catholic Charities of Central Florida Inc,Orlando,FL,2023-07-05 00:00:00,White/Caucasian/European,Male,,,,,,,,,10.0,,1.0,2.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,133.0,3.0,22.0,64.0,,,,41.0,3.0,,,,,,,,,,,,,,,,,,,,,11365377.0
59-2240502,Lords Place Inc,West Palm Beach,FL,2021-08-25 09:18:17,White/Caucasian/European,Female,Not transgender (cisgender),,,,,,,,25.0,,2.0,2.0,,,,21.0,,,,,13.0,12.0,,,,,25.0,,,,,,,,,,,7.0,,1.0,1.0,,,,5.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,133.0,1.0,54.0,21.0,,1.0,,51.0,5.0,0.0,0.0,0.0,77.0,56.0,0.0,0.0,0.0,,,,,,,,,,,,,13733660.0
84-0404239,Denver Childrens Home,Denver,CO,2023-01-18 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,2.0,1.0,,,,,12.0,2.0,,,,10.0,7.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,4.0,4.0,,,,,,,,1.0,7.0,0.0,,,,,,133.0,,13.0,16.0,,1.0,,98.0,5.0,,,,91.0,40.0,,2.0,,,,,,,,,,,,,,8317607.0
13-1624111,Evident Change,OAKLAND,CA,2023-04-04 00:00:00,Asian/Asian American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,1.0,,,,6.0,7.0,,,,,,,,,,,,,,,,3.0,1.0,,,,,,2.0,,,,,3.0,,,,,,3.0,,,,3.0,,,,3.0,,,132.0,8.0,26.0,19.0,0.0,0.0,0.0,72.0,7.0,,0.0,0.0,90.0,41.0,1.0,,,,,,,,,,,6.0,123.0,3.0,,16908625.0
46-2140915,Anti-Recidivism Coalition,Los Angeles,CA,2023-04-04 00:00:00,Black/African American,Male,Decline to state,Decline to state,Decline to state,,,,,,19.0,,5.0,,,,,10.0,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,2.0,,,,,2.0,2.0,,,,,,0.0,4.0,,,,4.0,,4.0,,,132.0,7.0,48.0,57.0,,1.0,,19.0,,,,,37.0,95.0,,,,,,,,,,,,,,,,21347280.0
52-1379661,League of Conservation Voters Education Fund,Washington,DC,2022-07-07 00:00:00,White/Caucasian/European,Male,,,,,,,,,9.0,2.0,,,,1.0,,6.0,,,,,6.0,3.0,,,,,,,,,,,,,,,,13.0,,3.0,1.0,,,,9.0,,,,,8.0,5.0,,,,,,,,,,,,,,,,132.0,5.0,16.0,32.0,,0.0,,68.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,54050067.0
93-0685734,New Narrative,Portland,OR,2023-04-12 13:17:04,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,7.0,1.0,1.0,1.0,,,,4.0,,,,,1.0,6.0,,,,,,,,,,,,,,,,6.0,1.0,1.0,,,,,4.0,,,,,4.0,2.0,,,,,,,6.0,,,,6.0,,,,6.0,132.0,15.0,48.0,10.0,,,,50.0,,,,9.0,99.0,13.0,,,20.0,,,,,,,,,,,,,24795044.0
