,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,total_compensation,web_address,num_employees,total_revenue
200,222675802,MORRIS HABITAT FOR HUMANITY,% BLAIR SCHLEICHER-WILSON,274 SOUTH SALEM STREET 100,RANDOLPH,NJ,07869-1616,8545,3,9,1000,198701,0,15,0,0,1,202212.0,8,7,1,0,12,15038168.0,9187059.0,8360125.0,,GREATER PLAINFIELD & MIDDLESEX COUN,222675802,Morris Habitat for Humanity,RANDOLPH,NJ,1644787213000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,20.0,1.0,4.0,2.0,,0.0,,13.0,0.0,,0.0,,4.0,16.0,,,,,,,,,,,,,,,,11.0,0.0,1.0,0.0,,0.0,,9.0,1.0,,,,5.0,6.0,,,,,,,,,,,,,,,,56.0,2.0,4.0,3.0,,0.0,,47.0,0.0,,0.0,0.0,26.0,30.0,,,,,,,,,,,,,,,,0.0,162787.0,100.0,1.0,0.0,2820425,WWW.MORRISHABITAT.ORG,72,8670164
201,222702285,STARBRIDGE SERVICES INC,,1650 SOUTH AVE STE 200,ROCHESTER,NY,14620-3926,0,3,3,1000,198606,1,15,160000000,1,1,202112.0,6,8,1,0,12,4814747.0,13382134.0,13376433.0,Z99,LDA LIFE & LEARNING SERVICES INC,222702285,Starbridge Services Inc,Rochester,NY,1678233600000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,,4.0,,,,,12.0,,,,,12.0,4.0,,,,,16.0,,,1.0,15.0,,,,16.0,,,5.0,,2.0,,,,,3.0,,,,,5.0,0.0,,,,,5.0,,0.0,,5.0,,,,5.0,,,554.0,10.0,101.0,31.0,,1.0,,398.0,13.0,,,,445.0,109.0,,,,,,,,,,,,,,,,0.0,181425.0,100.0,1.0,0.0,7932032,WWW.STARBRIDGEINC.ORG,479,13376433
202,222859005,RHODE ISLAND PBS FOUNDATION,% WSBE TV,50 PARK LN,PROVIDENCE,RI,02907-3124,0,3,3,1000,198803,1,15,200000000,1,1,202206.0,9,8,1,0,6,103109647.0,25631578.0,10856424.0,A32Z,,222859005,Rhode Island PBS Foundation,Providence,RI,1657152000000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,0.0,3.0,1.0,,1.0,,13.0,0.0,,0.0,0.0,9.0,9.0,,,,0.0,18.0,,,,,,,,,,,7.0,,,,,,,7.0,,,,,5.0,2.0,,,,,7.0,,,,7.0,,,,7.0,,,53.0,0.0,4.0,1.0,,1.0,,47.0,0.0,,0.0,0.0,30.0,23.0,,,,,,,,,,,,1.0,52.0,,,154448.0,208209.0,25.82068978766528,0.5,0.5,5434032,WWW.RIPBS.ORG,92,10856424
203,222882549,CITY YEAR INC,% JESSICA GREENFIELD,287 COLUMBUS AVE,BOSTON,MA,02116-5334,0,3,3,1000,198805,1,15,408000000,1,1,202206.0,9,9,1,0,6,122593381.0,185409288.0,184395439.0,Z99Z,,222882549,City Year Inc,BOSTON,MA,1694995200000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,36.0,,8.0,,1.0,,,27.0,,,,,16.0,20.0,,,,,,,,,,,,,,,,12.0,1.0,4.0,,2.0,,,5.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,951.0,60.0,267.0,150.0,,3.0,4.0,416.0,45.0,,,6.0,675.0,276.0,,,,,,,,,,,,,,,,270474.8333333333,326531.8333333333,17.167392051106813,0.5,0.5,98623864,WWW.CITYYEAR.ORG,1269,184395439
204,222915188,HORIZONS FOR HOMELESS CHILDREN INC,,1785 COLUMBUS AVE,ROXBURY,MA,02119-1041,0,3,3,1000,199311,1,15,574000000,1,1,202206.0,8,8,1,0,6,38808218.0,19163304.0,18496836.0,P330,,222915188,Horizons for Homeless Children Inc,ROXBURY,MA,1626864139000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,34.0,,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,12.0,,2.0,,,,,9.0,1.0,,,,12.0,,,,,,12.0,,,4.0,8.0,,,,,,,117.0,1.0,29.0,42.0,,0.0,,32.0,5.0,,,8.0,103.0,8.0,2.0,,4.0,,,,,,,,,,,,,274105.0,0.0,-1.0,0.0,1.0,8685802,HORIZONSFORHOMELESSCHILDREN.ORG,150,18496836
205,222962532,CENTER FOR SUPPORTIVE SCHOOLS INC,,911 COMMONS WAY,PRINCETON,NJ,08540-1531,0,3,3,1000,199001,1,15,149000000,1,1,202206.0,7,8,1,0,6,8052866.0,14643864.0,14643864.0,W70Z,,222962532,Center for Supportive Schools Inc,Princeton,NJ,1678665600000000000,,,,,,,,,,,13.0,,5.0,,,,,8.0,,,,,6.0,7.0,,,,,,,,,,,,,,,,8.0,,5.0,,,,,3.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,91.0,1.0,29.0,25.0,,,,29.0,6.0,,1.0,,74.0,15.0,2.0,,,,,,,,,,,,,,,180933.14285714287,336563.0,46.240928783870224,0.125,0.875,8748667,WWW.SUPPORTIVESCHOOLS.ORG,129,14643864
206,223031765,ONWARD WE LEARN,,134 THURBERS AVE STE 111,PROVIDENCE,RI,02905-4754,0,3,3,1000,199004,1,15,40000000,1,1,202209.0,7,7,1,0,9,7332600.0,6585326.0,5470693.0,B110,,223031765,Onward We Learn,Providence,RI,1693526400000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,0.0,2.0,3.0,,1.0,,8.0,,,,,8.0,6.0,,,,,14.0,,,,,,14.0,,,,14.0,5.0,,1.0,2.0,,,,2.0,,,,,2.0,3.0,,,,,5.0,,,,,,5.0,,,,5.0,50.0,4.0,10.0,14.0,,,,18.0,4.0,,,,30.0,20.0,,,,1.0,49.0,,,,,,50.0,,,,50.0,154135.0,181831.0,15.231726163305487,0.5,0.5,3391246,WWW.ONWARDWELEARN.ORG,140,5470693
207,223053747,CERES INC,,99 CHAUNCY STREET 6TH FLOOR,BOSTON,MA,02111-1703,0,3,3,1000,199011,1,15,559000000,1,1,202210.0,8,8,1,0,10,41047029.0,36584113.0,31657448.0,C010,,223053747,Ceres Inc,BOSTON,MA,1680048000000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,24.0,2.0,4.0,,,,,18.0,,,,,11.0,13.0,,,,,24.0,,,,,,,,,,,20.0,,2.0,,,,,17.0,1.0,,,,12.0,8.0,,,,,20.0,,,2.0,17.0,1.0,,1.0,12.0,7.0,,223.0,22.0,14.0,10.0,,,,163.0,11.0,,3.0,,154.0,69.0,,,,1.0,222.0,,,21.0,145.0,57.0,,7.0,182.0,34.0,,198111.5,190950.0,-3.750458235140089,0.1111111111111111,0.8888888888888888,13299771,WWW.CERES.ORG,177,24614571
208,223076454,YOUTHBUILD USA INC,% SURESH SHAH,1785 COLUMBUS AVE 500,ROXBURY,MA,02119-1041,3809,3,6,1000,200111,1,15,566000000,1,1,202112.0,8,8,1,0,12,41660191.0,42378938.0,41513584.0,J20,YOUTHBUILD USA INC,223076454,Youthbuild USA Inc,ROXBURY,MA,1693267200000000000,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,1.0,11.0,0.0,,,,5.0,,,,,8.0,9.0,,,,,,,,,,,,,,,,6.0,1.0,1.0,2.0,,,,2.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,66.0,4.0,7.0,5.0,,,,17.0,2.0,,31.0,,45.0,21.0,,,,,,,,,,,,,,,,175848.0,203494.5,13.585870871202907,0.5714285714285714,0.42857142857142855,7814756,WWW.YOUTHBUILD.ORG,82,41513584
209,223114280,AFFORDABLE HOUSING ALLIANCE INC,,3535 ROUTE 66 STE 4,NEPTUNE,NJ,07753-2625,0,3,3,1000,199109,1,15,381000000,1,1,202112.0,8,8,1,0,12,23008220.0,15379785.0,15041931.0,L80,,223114280,Affordable Housing Alliance Inc,Neptune,NJ,1672272000000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,,2.0,,,,,6.0,2.0,,1.0,,4.0,6.0,,1.0,,,,,,1.0,9.0,1.0,,,,,,9.0,,2.0,,,,,4.0,,,1.0,2.0,4.0,2.0,,1.0,2.0,,,1.0,8.0,,,1.0,8.0,,,1.0,8.0,88.0,,,,,,,,,,,,62.0,26.0,,,,,,,,,,,,,,,,140379.0,0.0,-1.0,0.0,1.0,4475761,WWW.HOUSINGALL.ORG,134,15041931
210,223154028,COMMUNITY SERVINGS INC,,179 AMORY ST,JAMAICA PLAIN,MA,02130-4515,0,3,3,1000,199204,1,15,160000000,1,1,202206.0,8,8,1,0,6,24387705.0,15555169.0,15169268.0,P80Z,,223154028,Community Servings Inc,Jamaica Plain,MA,1661299200000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,26.0,1.0,6.0,1.0,,,,17.0,1.0,,,,15.0,11.0,,,,,,,,,,,,,,,,8.0,,2.0,,,,,6.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,81.0,2.0,23.0,19.0,,,,35.0,2.0,,,,33.0,48.0,,,,,,,,,,,,,,,,263153.5,169054.0,-55.66239189844665,0.6,0.4,6399828,WWW.SERVINGS.ORG,106,15169268
211,223199269,STEPPING STONES MUSEUM FOR CHILDREN INC,,303 WEST AVE,NORWALK,CT,06850-4002,0,3,3,2000,199704,1,15,60000000,1,1,202112.0,8,7,1,0,12,16093030.0,8997123.0,8372447.0,A520,,223199269,Stepping Stones Museum for Children Inc,Norwalk,CT,1652281703000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,,1.0,,,,,12.0,,,,,,,,,,,,,,,,,,,13.0,,,11.0,,2.0,,,,,9.0,,,,,,,,,,,,,,,,,,,11.0,,,94.0,2.0,16.0,14.0,,,,62.0,,,,,,,,,,,,,,,,,,3.0,91.0,,,208288.0,0.0,-1.0,0.0,1.0,4652174,WWW.STEPPINGSTONESMUSEUM.ORG,139,8372447
212,223223641,ROCA INC,,101 PARK ST,CHELSEA,MA,02150-2771,0,3,3,1000,199605,1,15,349000000,1,1,202206.0,8,8,1,0,6,28158856.0,22172141.0,20784215.0,O99Z,,223223641,Roca Inc,Chelsea,MA,1658793600000000000,White/Caucasian/European,Female,Not transgender (cisgender),,Person without a disability,,,,,,16.0,1.0,4.0,2.0,,,,9.0,,,,,6.0,10.0,,,,,,,,,,,,,,,,7.0,2.0,,,,,,5.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,136.0,9.0,42.0,34.0,,1.0,,42.0,8.0,,,,75.0,60.0,1.0,,,,,,,,,,,,,,,198075.0,175157.5,-13.083938740847522,0.5714285714285714,0.42857142857142855,13130344,ROCAINC.ORG,376,20784215
213,223669704,CENTER FOR FAMILY SERVICES INC,% CENTER FOR FAMILY SERVICES,1 ALPHA AVE,VOORHEES,NJ,08043-1049,0,3,3,1000,199912,1,16,0,1,1,202206.0,8,9,1,0,6,47000039.0,97356052.0,97226196.0,P80,,223669704,Center for Family Services Inc,VOORHEES,NJ,1674432000000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,21.0,,,,,,,,,,,,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,18.0,491.0,378.0,,2.0,,493.0,56.0,,,58.0,,,,,,,,,,,,,,,,,,226332.0,357566.0,36.7020354284244,0.2,0.8,63518148,WWW.CENTERFFS.ORG,1845,97226196
214,237013563,THE BRIDGE FAMILY CENTER INC,% HILDER FONTANELLA,1022 FARMINGTON AVE,WEST HARTFORD,CT,06107-2105,0,3,3,1000,196904,1,16,59160349,1,1,202206.0,7,7,1,0,6,6348424.0,8707199.0,8707199.0,,,237013563,The Bridge Family Center Inc,West Hartford,CT,1684281600000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,2.0,2.0,1.0,,,,8.0,,,,,8.0,5.0,,,,,13.0,,,1.0,12.0,,,,13.0,,,9.0,,1.0,,,,,8.0,,,,,7.0,2.0,,,,,,,,1.0,8.0,,,,,,9.0,161.0,,68.0,23.0,,,,70.0,,,,,122.0,39.0,,,,,,,,,,,,,,,,212592.5,0.0,-1.0,0.0,1.0,6059553,WWW.BRIDGEFAMILYCENTER.ORG,139,8707199
215,237069110,OXFAM-AMERICA INC,,77 N WASHINGTON ST STE 500,BOSTON,MA,02114-1908,0,3,3,1000,198808,1,15,560902000,1,1,202303.0,9,9,1,0,3,81153998.0,86868582.0,81357087.0,Q300,,237069110,Oxfam-America Inc,BOSTON,MA,1695254400000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,21.0,4.0,4.0,1.0,1.0,,,9.0,1.0,1.0,,,9.0,12.0,,,,,21.0,,,1.0,18.0,2.0,0.0,,,,,8.0,,3.0,,,,,5.0,,,,,6.0,2.0,,,,,8.0,,,1.0,7.0,,,,,,,247.0,22.0,27.0,21.0,,1.0,,169.0,7.0,,,,172.0,75.0,,,,,,,,,,,,,,,,235047.0,262386.44444444444,10.419533868196103,0.6923076923076923,0.3076923076923077,33137827,WWW.OXFAMAMERICA.ORG,307,100583862
216,237076465,BOYS AND GIRLS CLUBS OF DORCHESTER INC,,1135 DORCHESTER AVE,DORCHESTER,MA,02125-3303,0,3,3,1000,197011,1,15,349000000,1,1,202206.0,8,8,1,0,6,16405048.0,12772059.0,11891142.0,O210,,237076465,Boys and Girls Clubs of Dorchester Inc,Dorchester,MA,1664409600000000000,White/Caucasian/European,Male,,,,,,,,,43.0,3.0,5.0,1.0,,,,34.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,115.0,7.0,20.0,10.0,,0.0,,66.0,7.0,,5.0,0.0,83.0,32.0,,,,,,,,,,,,,,,,155850.5,187431.5,16.849355631257286,0.5,0.5,4856360,WWW.BGCDORCHESTER.ORG,238,11891142
217,237122908,RIVERBEND SCHOOL INC,,39 ELIOT ST,NATICK,MA,01760-6040,0,3,3,2000,197108,1,11,30000000,1,1,202206.0,8,7,1,0,6,19023555.0,6475184.0,6418307.0,,,237122908,Riverbend School Inc,Natick,MA,1688601600000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,0.0,,0.0,,6.0,1.0,,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,54.0,3.0,3.0,4.0,,0.0,,43.0,1.0,,,,,,,,,,,,,,,,,,,,,193263.5,0.0,-1.0,0.0,1.0,3808070,RIVERBENDSCHOOL.ORG,79,6418307
218,237140024,JEWISH COMMUNITY CENTER OF MIDDLESEX COUNTY,,1775 OAK TREE RD,EDISON,NJ,08820-2740,0,3,3,1000,197203,1,16,324349000,1,1,202112.0,6,6,1,0,12,2796847.0,1976104.0,1911741.0,P28Z,,237140024,Jewish Community Center of Middlesex County,Edison,NJ,1643881069000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,25.0,,,,,,,25.0,,,,,14.0,11.0,,,,,25.0,,,,25.0,,,2.0,23.0,,,11.0,1.0,1.0,1.0,,0.0,,8.0,0.0,,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,65.0,8.0,4.0,3.0,,0.0,,50.0,0.0,,0.0,0.0,58.0,7.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,2.0,63.0,0.0,0.0,2.0,63.0,0.0,0.0,158046.0,0.0,-1.0,0.0,1.0,1138450,WWW.JCCMC.ORG,97,1911741
219,237148533,MARRAKECH INCORPORATED,,6 LUNAR DR,WOODBRIDGE,CT,06525-2322,0,3,3,1200,197201,1,15,59160399,1,1,202206.0,8,7,1,0,6,14546567.0,8618361.0,8525359.0,J30Z,,237148533,Marrakech Incorporated,Woodbridge,CT,1629806676000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,,4.0,,,,,5.0,1.0,,,,6.0,4.0,,,,,,,,,,,,1.0,,,9.0,19.0,,5.0,2.0,,,,12.0,,,,,15.0,4.0,,,,,,,,,,,,,,,,712.0,6.0,495.0,62.0,,4.0,,83.0,30.0,,32.0,,492.0,219.0,1.0,,,,,,,,,,,,,,,225020.0,152335.0,-47.713919978993665,0.3333333333333333,0.6666666666666666,4780687,WWW.MARRAKECHINC.ORG,945,8525359
220,237250641,ROCHESTER AREA COMMUNITY FOUNDATION,,500 EAST AVENUE,ROCHESTER,NY,14607-1949,0,3,3,1000,197209,1,15,994602000,1,1,202203.0,9,9,1,0,3,471071689.0,186501749.0,87623690.0,T310,,237250641,Rochester Area Community Foundation,Rochester,NY,1683244800000000000,,,,,,,,,,,27.0,1.0,5.0,2.0,,,,11.0,,,1.0,7.0,12.0,8.0,,,7.0,1.0,19.0,,7.0,4.0,16.0,,7.0,3.0,14.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,3.0,1.0,,,,25.0,1.0,,1.0,109.0,28.0,2.0,,1.0,109.0,,29.0,2.0,109.0,2.0,26.0,3.0,109.0,7.0,19.0,5.0,109.0,304522.0,160506.0,-89.72624076358517,0.3333333333333333,0.6666666666666666,3562999,WWW.RACF.ORG,34,87623690
221,237395681,LAMBDA LEGAL DEFENSE AND EDUCATION FUND INC,,120 WALL STREET 19TH FLOOR,NEW YORK,NY,10005-3919,0,3,3,1200,197407,1,15,430000000,1,1,202212.0,8,9,1,0,12,44443289.0,78719792.0,21934531.0,R20Z,,237395681,Lambda Legal Defense and Education Fund Inc,New York,NY,1649280811000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",,,,,,,34.0,3.0,6.0,4.0,,,,21.0,,,,,13.0,21.0,,,,3.0,31.0,,,29.0,2.0,3.0,,,,,,18.0,1.0,3.0,2.0,,,,10.0,2.0,,,,9.0,8.0,,1.0,,1.0,17.0,,,12.0,3.0,3.0,,,,,,88.0,6.0,15.0,16.0,,1.0,,44.0,3.0,1.0,,2.0,34.0,44.0,5.0,4.0,1.0,10.0,78.0,,,61.0,10.0,17.0,,,,,,265028.2,327969.25,19.1911436819153,0.4444444444444444,0.5555555555555556,14061197,WWW.LAMBDALEGAL.ORG,136,41684799
222,237451423,ADVOCATES INC,% DIANE GOULD,1881 WORCESTER ROAD,FRAMINGHAM,MA,01701-5410,0,3,3,1000,197511,1,15,166429566,1,1,202206.0,9,9,1,0,6,68889354.0,134378016.0,134086629.0,F320,,237451423,Advocates Inc,Framingham,MA,1681862400000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,16.0,1.0,1.0,0.0,,,,14.0,,,,,7.0,9.0,,,,,,,,,,,,,,,,11.0,,4.0,,,,,7.0,,,,,8.0,3.0,,,,,,,,,,,,,,,,1597.0,47.0,753.0,79.0,,,,702.0,16.0,,,,991.0,606.0,,,,,,,,,,,,,,,,243668.66666666666,281958.2,13.579861601234988,0.45454545454545453,0.5454545454545454,93713714,WWW.ADVOCATESINC.ORG,1913,134086629
223,261150699,350 ORG,% KEISHA AMES,PO BOX 843004,BOSTON,MA,02284-3004,0,3,3,1000,200806,1,15,0,1,1,202209.0,8,8,1,0,9,16420089.0,22610391.0,21511958.0,C05,,261150699,350 Org,BOSTON,MA,1684281600000000000,White/Caucasian/European,Female,,,Decline to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1.0,,1.0,,1.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,152.0,19.0,12.0,3.0,2.0,,3.0,40.0,2.0,,3.0,68.0,93.0,48.0,8.0,3.0,,,,,,,,,,,,,,155606.0,0.0,-1.0,0.0,1.0,13572487,WWW.350.ORG,68,23133635
224,261914515,BELLWETHER EDUCATION PARTNERS INC,% MARY WELLS,517 BOSTON POST RD UNIT 171,SUDBURY,MA,01776-7607,0,3,3,2000,200803,1,15,0,1,1,202208.0,8,8,1,0,8,12819060.0,18147451.0,18147451.0,B60,,261914515,Bellwether Education Partners Inc,Sudbury,MA,1620987127000000000,,,,,,,,,,,7.0,,2.0,1.0,,,,4.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,5.0,,1.0,,,,,4.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,63.0,4.0,19.0,1.0,,,,39.0,,,,,49.0,14.0,,,,,,,,,,,,,,,,280482.22222222225,259471.5,-8.097506748225623,0.3076923076923077,0.6923076923076923,12592012,BELLWETHEREDUCATION.ORG,111,18147451
225,263618722,PENCILS OF PROMISE INCORPORATED,% ADAM BRAUN,1115 BROADWAY STE 1157,NEW YORK,NY,10010-3401,0,3,3,1000,200902,1,16,0,1,1,202112.0,6,7,1,0,12,2961527.0,5048071.0,5028626.0,Q30,,263618722,Pencils of Promise Incorporated,New York,NY,1660572155000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,11.0,1.0,1.0,,,,,9.0,,,,,5.0,6.0,,,,,11.0,,,,,,,,11.0,,,3.0,,,1.0,,,,2.0,,,,,3.0,,,,,,3.0,,,,3.0,,,,3.0,,,113.0,29.0,40.0,35.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,173378.33333333334,0.0,-1.0,0.0,1.0,3018792,WWW.PENCILSOFPROMISE.ORG,28,5028626
226,263849472,TEACH PLUS INCORPORATED,,ONE BEACON STREET,BOSTON,MA,02108-3107,0,3,3,2100,200908,1,15,0,1,1,202209.0,8,8,1,0,9,12001505.0,12301537.0,12042496.0,B90,,263849472,Teach Plus Incorporated,Boston,MA,1611138841000000000,,,,,,,,,,,9.0,,3.0,,,,,5.0,1.0,,,,4.0,5.0,,,,,,,,,,,,,,,,5.0,,,1.0,,,,4.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,52.0,3.0,11.0,5.0,,,,31.0,1.0,,,1.0,29.0,23.0,,,,,,,,,,,,,,,,211034.0,187416.0,-12.601912323387543,0.375,0.625,9550790,WWW.TEACHPLUS.ORG,72,12042496
227,272904497,THE ONE LOVE FOUNDATION IN HONOR OF YEARDLEY LOVE INC,% SHARON LOVE,44 PONDFIELD ROAD SUITE 12,BRONXVILLE,NY,10708-3802,0,3,3,1000,201007,1,15,0,1,1,202206.0,8,8,1,0,6,11401294.0,11371189.0,10796825.0,B82,,272904497,The One Love Foundation in Honor of Yeardley Love Inc,Bronxville,NY,1683158400000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,,,,,,6.0,,,,,9.0,,,,,,,,,,,,,,9.0,,,57.0,6.0,9.0,7.0,,,,31.0,4.0,,,,50.0,7.0,,,,,,,,,,,,5.0,23.0,5.0,24.0,196702.33333333334,188519.5,-4.340576615858489,0.25,0.75,5552651,www.joinonelove.org,45,10796825
228,273523909,COMMUNITY SOLUTIONS INTERNATIONAL INC,% JAMES SCHLECK MBR,PO BOX 3524,NEW YORK,NY,10008-3524,0,3,3,2100,201103,1,15,0,1,1,202112.0,9,9,1,0,12,178069310.0,122989223.0,122989223.0,L24,COMMUNITY SOLUTIONS INC,273523909,Community Solutions International Inc,New York,NY,1694131200000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,2.0,1.0,,,,,7.0,1.0,,,,7.0,4.0,,,,,11.0,,,,,,11.0,,,,11.0,8.0,1.0,2.0,1.0,1.0,,,3.0,,,,,7.0,1.0,,,,,8.0,,,,,,8.0,,,,8.0,78.0,8.0,16.0,10.0,,,,41.0,3.0,,,,59.0,19.0,,,,,,,78.0,,,,78.0,,,,78.0,193630.66666666666,164714.0,-17.555682374702002,0.14285714285714285,0.8571428571428571,8629033,WWW.CMTYSOLUTIONS.ORG,93,122989223
229,275316628,RELAY GRADUATE SCHOOL OF EDUCATION,% PIPER K EVANS,25 BROADWAY 3RD FLOOR,NEW YORK,NY,10004-1061,0,3,3,2000,201109,1,11,0,1,1,202206.0,9,9,1,0,6,56720403.0,55978916.0,55978916.0,B40,,275316628,Relay Graduate School of Education,New York,NY,1658793600000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,9.0,0.0,2.0,1.0,,0.0,,6.0,0.0,,0.0,0.0,3.0,6.0,,,,,9.0,,,,,,,,,,,30.0,0.0,10.0,1.0,,0.0,,14.0,4.0,,1.0,,17.0,12.0,,1.0,,,,,,,,,,,,,,274.0,18.0,76.0,44.0,,1.0,,101.0,11.0,,23.0,,186.0,68.0,,20.0,,,,,,,,,,,,,,252859.0,108469.75,-133.1147624107182,0.4444444444444444,0.5555555555555556,37415931,WWW.RELAY.EDU,477,55978916
